,description,displaySymbol,symbol,type
108,TPAS TINKOFF PAN ASIA,TPAS.ME,TPAS,ETP
109,NORFOLK SOUTHERN CORP,NSC-RM.ME,NSC-RM,Common Stock
110,TRAI ETF TINKOFF AI ROBOTICS,TRAI.ME,TRAI,ETP
111,CENTER FOR CARGO CONTAINER T,TRCN.ME,TRCN,Common Stock
112,KEYSIGHT TECHNOLOGIES IN,KEYS-RM.ME,KEYS-RM,Common Stock
113,DIGITAL TURBINE INC,APPS-RM.ME,APPS-RM,Common Stock
114,VERTEX PHARMACEUTICALS INC,VRTX-RM.ME,VRTX-RM,Common Stock
115,CMS ENERGY CORP,CMS-RM.ME,CMS-RM,Common Stock
116,UNITED PARCEL SERVICE-CL B,UPS-RM.ME,UPS-RM,Common Stock
117,AMERICAN EXPRESS CO,AXP-RM.ME,AXP-RM,Common Stock
118,AIRBNB INC-CLASS A,ABNB-RM.ME,ABNB-RM,Common Stock
119,PELOTON INTERACTIVE INC-A,PTON-RM.ME,PTON-RM,Common Stock
120,MORION PJSC,MORI.ME,MORI,Common Stock
121,SPROUTS FARMERS MARKET INC,SFM-RM.ME,SFM-RM,Common Stock
122,VTBB ETF RUS EURBND SMRT BT,VTBU.ME,VTBU,ETP
123,NIZHNEKAMSKNEFTEKHIM PJSC,NKNC.ME,NKNC,Common Stock
124,HESS CORP,HES-RM.ME,HES-RM,Common Stock
125,AVERY DENNISON CORP,AVY-RM.ME,AVY-RM,Common Stock
126,CIGNA CORP,CI-RM.ME,CI-RM,Common Stock
127,EUROPEAN ELTECH PJSC,EELT.ME,EELT,Common Stock
128,ON SEMICONDUCTOR,ON-RM.ME,ON-RM,Common Stock
129,STATE STREET CORP,STT-RM.ME,STT-RM,Common Stock
130,LIPETSK ENERGY RETAIL CO,LPSB.ME,LPSB,Common Stock
131,INVEST-DEVELOPMENT PJSC,IDVP.ME,IDVP,Common Stock
132,TINKOFF S&P 500 ETF,TSPX.ME,TSPX,ETP
133,ENTERGY CORP,ETR-RM.ME,ETR-RM,Common Stock
134,PNC FINANCIAL SERVICES GROUP,PNC-RM.ME,PNC-RM,Common Stock
135,SMITH (A.O.) CORP,AOS-RM.ME,AOS-RM,Common Stock
136,HALLIBURTON CO,HAL-RM.ME,HAL-RM,Common Stock
137,FAR-EASTERN ENERGY CO PJSC,DVEC.ME,DVEC,Common Stock
138,ARSAGERA PJSC,ARSA.ME,ARSA,Common Stock
139,DXC TECHNOLOGY CO,DXC-RM.ME,DXC-RM,Common Stock
140,CF INDUSTRIES HOLDINGS INC,CF-RM.ME,CF-RM,Common Stock
141,WORLD HIGH YIELD BONDS ETF,BCSY.ME,BCSY,ETP
142,BASHINFORMSVYAZ PJSC,BISV.ME,BISV,Common Stock
143,MORGAN STANLEY,MS-RM.ME,MS-RM,Common Stock
144,ROSSETI VOLGA PJSC,MRKV.ME,MRKV,Common Stock
145,XCEL ENERGY INC,XEL-RM.ME,XEL-RM,Common Stock
146,MAGADANENERGO PJSC,MAGE.ME,MAGE,Common Stock
147,INTEL CORP,INTC-RM.ME,INTC-RM,Common Stock
148,REGIONS FINANCIAL CORP,RF-RM.ME,RF-RM,Common Stock
149,HARTFORD FINANCIAL SVCS GRP,HIG-RM.ME,HIG-RM,Common Stock
150,CITIGROUP INC,C-RM.ME,C-RM,Common Stock
151,HORMEL FOODS CORP,HRL-RM.ME,HRL-RM,Common Stock
152,QUEST DIAGNOSTICS INC,DGX-RM.ME,DGX-RM,Common Stock
153,HEWLETT PACKARD ENTERPRISE,HPE-RM.ME,HPE-RM,Common Stock
154,SEALED AIR CORP,SEE-RM.ME,SEE-RM,Common Stock
155,RALPH LAUREN CORP,RL-RM.ME,RL-RM,Common Stock
156,BLACKSTONE INC,BX-RM.ME,BX-RM,Common Stock
157,US FOODS HOLDING CORP,USFD-RM.ME,USFD-RM,Common Stock
158,GAZ PJSC,GAZA.ME,GAZA,Common Stock
159,ROSINTER RESTAURANTS HOLDING,ROST.ME,ROST,Common Stock
160,FINEX USA UCITS ETF,FXUS.ME,FXUS,ETP
161,INTERPUBLIC GROUP OF COS INC,IPG-RM.ME,IPG-RM,Common Stock
162,JPMORGAN CHASE & CO,JPM-RM.ME,JPM-RM,Common Stock
163,INFORMATIKA +,SCIP.ME,SCIP,ETP
164,ZIMMER BIOMET HOLDINGS INC,ZBH-RM.ME,ZBH-RM,Common Stock
165,DROPBOX INC-CLASS A,DBX-RM.ME,DBX-RM,Common Stock
166,TUSIMPLE HOLDINGS INC - A,TSP-RM.ME,TSP-RM,Common Stock
167,MCDONALD'S CORP,MCD-RM.ME,MCD-RM,Common Stock
168,RAYMOND JAMES FINANCIAL INC,RJF-RM.ME,RJF-RM,Common Stock
169,ADVANCE AUTO PARTS INC,AAP-RM.ME,AAP-RM,Common Stock
170,FINEX GERMANY UCITS ETF,FXDE.ME,FXDE,ETP
171,LIVE NATION ENTERTAINMENT IN,LYV-RM.ME,LYV-RM,Common Stock
172,SMITH & WESSON BRANDS INC,SWBI-RM.ME,SWBI-RM,Common Stock
173,VULCAN MATERIALS CO,VMC-RM.ME,VMC-RM,Common Stock
174,COLGATE-PALMOLIVE CO,CL-RM.ME,CL-RM,Common Stock
175,QUADRA POWER GENERATION PJSC,TGKD.ME,TGKD,Common Stock
176,FINEX GOLD ETF USD,FXGD.ME,FXGD,ETP
177,MAGNOLIA OIL & GAS CORP - A,MGY-RM.ME,MGY-RM,Common Stock
178,CADENCE DESIGN SYS INC,CDNS-RM.ME,CDNS-RM,Common Stock
179,SAKHALINENERGO PJSC,SLEN.ME,SLEN,Common Stock
180,ROSS STORES INC,ROST-RM.ME,ROST-RM,Common Stock
181,MICRON TECHNOLOGY INC,MU-RM.ME,MU-RM,Common Stock
182,ARTHUR J GALLAGHER & CO,AJG-RM.ME,AJG-RM,Common Stock
183,VOLGOGRAD ENERGOSBYT PJSC,VGSB.ME,VGSB,Common Stock
184,AT&T INC,T-RM.ME,T-RM,Common Stock
185,DANAHER CORP,DHR-RM.ME,DHR-RM,Common Stock
186,AMHY ETF HIGH YIELD BONDS,AMHY.ME,AMHY,ETP
187,WESTERN UNION CO,WU-RM.ME,WU-RM,Common Stock
188,TUIMAZY CONCRETE DELIVERY TR,TUZA.ME,TUZA,Common Stock
189,ALBEMARLE CORP,ALB-RM.ME,ALB-RM,Common Stock
190,ZIL,ZILL.ME,ZILL,Common Stock
191,MORDOVIA ENERGY RETAIL CO PJ,MRSB.ME,MRSB,Common Stock
192,MOSCOW EXCHANGE MICEX-RTS PJ,MOEX.ME,MOEX,Common Stock
193,LOEWS CORP,L-RM.ME,L-RM,Common Stock
194,SERVICENOW INC,NOW-RM.ME,NOW-RM,Common Stock
195,EXPEDITORS INTL WASH INC,EXPD-RM.ME,EXPD-RM,Common Stock
196,UNION PACIFIC CORP,UNP-RM.ME,UNP-RM,Common Stock
197,SOLLERS PJSC,SVAV.ME,SVAV,Common Stock
198,NOVATEK PJSC,NVTK.ME,NVTK,Common Stock
199,CHURCH & DWIGHT CO INC,CHD-RM.ME,CHD-RM,Common Stock
200,NIKE INC -CL B,NKE-RM.ME,NKE-RM,Common Stock
201,AMMF ETF USA GROWTH LEADERS,AMMF.ME,AMMF,ETP
202,ENPHASE ENERGY INC,ENPH-RM.ME,ENPH-RM,Common Stock
203,MATCH GROUP INC,MTCH-RM.ME,MTCH-RM,Common Stock
204,ELI LILLY & CO,LLY-RM.ME,LLY-RM,Common Stock
205,BAXTER INTERNATIONAL INC,BAX-RM.ME,BAX-RM,Common Stock
206,KORSHYNOV MINING PLANT PJSC,KOGK.ME,KOGK,Common Stock
207,OPNE ETF OTKR EUROPEAN STOCK,OPNE.ME,OPNE,ETP
208,DR HORTON INC,DHI-RM.ME,DHI-RM,Common Stock
209,ESGR ETF RSHB-MOEX-RSPP VTR,ESGR.ME,ESGR,ETP
210,AMLV ETF SAFE HAVEN,AMLV.ME,AMLV,ETP
211,CONTEXTLOGIC INC - A,WISH-RM.ME,WISH-RM,Common Stock
212,AMERISOURCEBERGEN CORP,ABC-RM.ME,ABC-RM,Common Stock
213,AMRB ETF RUSSIAN BONDS +,AMRB.ME,AMRB,ETP
214,TINKOFF IPO INDEX ETF,TIPO.ME,TIPO,ETP
215,S&P GLOBAL INC,SPGI-RM.ME,SPGI-RM,Common Stock
216,SELIGDAR PJSC,SELG.ME,SELG,Common Stock
217,AES CORP,AES-RM.ME,AES-RM,Common Stock
218,GENERAL MOTORS CO,GM-RM.ME,GM-RM,Common Stock
219,KRASNOYARSKENERGOSBYT PJSC,KRSB.ME,KRSB,Common Stock
220,PETROCHINA CO LTD -ADR,PTR-RM.ME,PTR-RM,ADR
221,ETSY INC,ETSY-RM.ME,ETSY-RM,Common Stock
222,PEPSICO INC,PEP-RM.ME,PEP-RM,Common Stock
223,LABORATORY CRP OF AMER HLDGS,LH-RM.ME,LH-RM,Common Stock
224,SOUTHWESTERN ENERGY CO,SWN-RM.ME,SWN-RM,Common Stock
225,OSPB - OFZ 1000,SPBF.ME,SPBF,ETP
226,TNS ENERGO MARIY EL PJSC,MISB.ME,MISB,Common Stock
227,GENERAC HOLDINGS INC,GNRC-RM.ME,GNRC-RM,Common Stock
228,KURGANSKAYA GENERIRUYUSHCHAY,KGKC.ME,KGKC,Common Stock
229,WEST PHARMACEUTICAL SERVICES,WST-RM.ME,WST-RM,Common Stock
230,AMSL ETF SILVER,AMSL.ME,AMSL,ETP
231,SLAVNEFT-YAROSLAVNEFTEORGSIN,JNOS.ME,JNOS,Common Stock
232,FINEX GLOBAL EQUITY ETF RUBH,FXRW.ME,FXRW,ETP
233,TEXTRON INC,TXT-RM.ME,TXT-RM,Common Stock
234,SEVERSTAL PJSC,CHMF.ME,CHMF,Common Stock
235,KKR & CO INC,KKR-RM.ME,KKR-RM,Common Stock
236,TNS ENERGO VORONEZH PJSC,VRSB.ME,VRSB,Common Stock
237,EXXON MOBIL CORP,XOM-RM.ME,XOM-RM,Common Stock
238,SAP SE-SPONSORED ADR,SAP-RM.ME,SAP-RM,ADR
239,NIO INC - ADR,NIO-RM.ME,NIO-RM,ADR
240,NETFLIX INC,NFLX-RM.ME,NFLX-RM,Common Stock
241,QUANTUMSCAPE CORP,QS-RM.ME,QS-RM,Common Stock
242,DISCOVER FINANCIAL SERVICES,DFS-RM.ME,DFS-RM,Common Stock
243,GAZ-SERVICE PJSC,GAZS.ME,GAZS,Common Stock
244,CHEMOCENTRYX INC,CCXI-RM.ME,CCXI-RM,Common Stock
245,PHARMACY CHAIN 36.6 PJSC,APTK.ME,APTK,Common Stock
246,MKBD ETF RUSSIAN DIV SHARES,MKBD.ME,MKBD,ETP
247,AMERIPRISE FINANCIAL INC,AMP-RM.ME,AMP-RM,Common Stock
248,AMRE ETF RUSSIAN EQUITIES+,AMRE.ME,AMRE,ETP
249,MAGNITOGORSK IRON & STEEL WO,MAGN.ME,MAGN,Common Stock
250,HUNTINGTON INGALLS INDUSTRIE,HII-RM.ME,HII-RM,Common Stock
251,OTIS WORLDWIDE CORP,OTIS-RM.ME,OTIS-RM,Common Stock
252,MASCO CORP,MAS-RM.ME,MAS-RM,Common Stock
253,PRINCIPAL FINANCIAL GROUP,PFG-RM.ME,PFG-RM,Common Stock
254,EASTMAN CHEMICAL CO,EMN-RM.ME,EMN-RM,Common Stock
255,MRSK CENTRE PJSC,MRKC.ME,MRKC,Common Stock
256,DIOD PJSC,DIOD.ME,DIOD,Common Stock
257,SBERBNK-MOEX RUS GVT BND IND,SBGB.ME,SBGB,ETP
258,CVS HEALTH CORP,CVS-RM.ME,CVS-RM,Common Stock
259,VEON LTD,VEON-RX.ME,VEON-RX,Common Stock
260,UNITEDHEALTH GROUP INC,UNH-RM.ME,UNH-RM,Common Stock
261,RYAZAN ENERGY RETAIL CO PJSC,RZSB.ME,RZSB,Common Stock
262,FAR EASTERN SHIPPING CO PLC,FESH.ME,FESH,Common Stock
263,CINEMARK HOLDINGS INC,CNK-RM.ME,CNK-RM,Common Stock
264,TINKOFF BOND ETF,TBRU.ME,TBRU,ETP
265,EMERSON ELECTRIC CO,EMR-RM.ME,EMR-RM,Common Stock
266,OR PJSC,ORUP.ME,ORUP,Common Stock
267,COGNIZANT TECH SOLUTIONS-A,CTSH-RM.ME,CTSH-RM,Common Stock
268,KRASNYI KOTELSCHIK TKZ PJSC,KRKO.ME,KRKO,Common Stock
269,CORNING INC,GLW-RM.ME,GLW-RM,Common Stock
270,CAESARS ENTERTAINMENT INC,CZR-RM.ME,CZR-RM,Common Stock
271,GAZPROM PJSC,GAZP.ME,GAZP,Common Stock
272,ELECTROZINC OJSC,ELTZ.ME,ELTZ,Common Stock
273,ALFA CAPITAL VIDEOGAMES ETF,AKVG.ME,AKVG,ETP
274,VLADIMIR CHEMICAL PLANT PJSC,VLHZ.ME,VLHZ,Common Stock
275,EDWARDS LIFESCIENCES CORP,EW-RM.ME,EW-RM,Common Stock
276,GENERAL ELECTRIC CO,GE-RM.ME,GE-RM,Common Stock
277,ACTIVISION BLIZZARD INC,ATVI-RM.ME,ATVI-RM,Common Stock
278,VTBI ETF US INVEST GRADE BND,VTBI.ME,VTBI,ETP
279,INTERREGIONAL DISTRIBUTION G,MRKP.ME,MRKP,Common Stock
280,SNAP INC - A,SNAP-RM.ME,SNAP-RM,Common Stock
281,MMC NORILSK NICKEL PJSC,GMKN.ME,GMKN,Common Stock
282,NETAPP INC,NTAP-RM.ME,NTAP-RM,Common Stock
283,SEMPRA ENERGY,SRE-RM.ME,SRE-RM,Common Stock
284,ALIGN TECHNOLOGY INC,ALGN-RM.ME,ALGN-RM,Common Stock
285,CINTAS CORP,CTAS-RM.ME,CTAS-RM,Common Stock
286,AMIG ETF L0W-RISK BONDS,AMIG.ME,AMIG,ETP
287,HYLIION HOLDINGS CORP,HYLN-RM.ME,HYLN-RM,Common Stock
288,MOHAWK INDUSTRIES INC,MHK-RM.ME,MHK-RM,Common Stock
289,FINEX FFIN KAZAKHSTAN EQUITY,FXKZ.ME,FXKZ,ETP
290,TAPESTRY INC,TPR-RM.ME,TPR-RM,Common Stock
291,ZOOMINFO TECHNOLOGIES INC,ZI-RM.ME,ZI-RM,Common Stock
292,COINBASE GLOBAL INC -CLASS A,COIN-RM.ME,COIN-RM,Common Stock
293,HP INC,HPQ-RM.ME,HPQ-RM,Common Stock
294,SBHI ETF HALAL INVESTMENTS,SBHI.ME,SBHI,ETP
295,IC RUSS-INVEST PJSC,RUSI.ME,RUSI,Common Stock
296,TRIPADVISOR INC,TRIP-RM.ME,TRIP-RM,Common Stock
297,TWILIO INC - A,TWLO-RM.ME,TWLO-RM,Common Stock
298,TBUY ETF TINKOFF BUY BACK,TBUY.ME,TBUY,ETP
299,ETF DIVD DOHOD DIV RU,DIVD.ME,DIVD,ETP
300,HEADHUNTER GROUP PLC-ADR,HHRU.ME,HHRU,ADR
301,CSX CORP,CSX-RM.ME,CSX-RM,Common Stock
302,REPUBLIC SERVICES INC,RSG-RM.ME,RSG-RM,Common Stock
303,BIO-RAD LABORATORIES-A,BIO-RM.ME,BIO-RM,Common Stock
304,GTL OJSC,GTLC.ME,GTLC,Common Stock
305,CENTERPOINT ENERGY INC,CNP-RM.ME,CNP-RM,Common Stock
306,NEWS CORP - CLASS B,NWS-RM.ME,NWS-RM,Common Stock
307,FINEX USA IT UCITS ETF MINI,FXIM.ME,FXIM,ETP
308,PRUDENTIAL FINANCIAL INC,PRU-RM.ME,PRU-RM,Common Stock
309,VONTIER CORP,VNT-RM.ME,VNT-RM,Common Stock
310,TNS ENERGOS PJSC,TNSE.ME,TNSE,Common Stock
